Earnings,Driver,Races,T5,T10,Pole,Laps,Led,AvSt,AvFn,RAF,Miles,LLF,Win
"113,005",Billy Standridge,3,0,0,0,254,0,20.3,39.3,1,635,0,0
"12,705",Tim Steele,1,0,0,0,20,0,29,43,0,50,0,0
"1,265",Pete Stewart,3,0,0,0,39,0,28.7,26.7,1,97.5,0,0
100,Don Stives,1,0,0,0,1,0,25,28,0,2.5,0,0
"47,175",Ramo Stott,15,2,7,1,1778,2,17.2,16.5,10,4445,2,0
"1,742,144",David Stremme,10,0,0,0,1448,3,26.2,29.5,6,3620,4,0
"1,810",Bub Strickler,4,0,0,0,187,0,26,23.2,0,467.5,0,0
"524,255",Hut Stricklin,18,1,2,0,2621,10,24.7,25.3,13,6552.5,6,0
0,Daniel Suarez,6,0,0,0,690,11,21,31.8,1,1725,1,0
315,Johnny Sudderth,2,0,0,0,149,0,30.5,30.5,1,372.5,0,0
550,Len Sutton,2,0,0,0,100,0,23,30.5,0,250,0,0
"16,500",Sammy Swindell,1,0,0,0,28,0,32,41,0,70,0,0
"7,695",Don Tarr,8,0,2,0,651,0,28,24,5,1627.5,0,0
"1,140",Billy Taylor,2,0,0,0,65,0,25,31,1,162.5,0,0
"20,700",Brad Teague,3,0,0,0,350,0,32,30.3,2,875,0,0
"22,445",Kerry Teague,1,0,0,0,122,0,21,33,0,305,0,0
0,Al Terrell,1,0,0,0,4,0,26,31,0,10,0,0
250,George Tet,2,0,0,0,60,0,42,37.5,1,150,0,0
"20,175",Jabe Thomas,19,0,3,0,1975,0,24.3,21.1,11,4937.5,0,0
"3,325",Larry Thomas,8,0,1,0,667,0,24.2,17.2,5,1667.5,0,0
"44,605",Ronnie Thomas,9,0,0,0,1282,0,31.9,25.2,5,3205,0,0
500,Jimmy Thompson,1,0,0,0,182,0,18,20,1,455,0,0
0,Mark Thompson,1,0,0,0,203,0,40,22,1,507.5,0,0
"1,390",Roscoe Thompson,5,0,1,0,373,0,16,20.4,1,932.5,0,0
"1,885",Speedy Thompson,7,0,2,0,577,0,19.9,21.1,4,1442.5,0,0
300,Tommy Thompson,1,0,0,0,90,0,29,15,1,225,0,0
0,Matt Tifft,2,0,1,0,317,0,32,22.5,1,792.5,1,0
"1,240",Don Tilley,2,0,0,0,119,0,23.5,20,1,297.5,0,0
"2,885",Travis Tiller,2,0,0,0,179,0,35.5,31,0,447.5,0,0
635,Herb Tillman,3,0,0,0,289,0,18,21.3,3,722.5,0,0
"3,460",Randy Tissot,2,0,0,0,176,0,24.5,22.5,1,440,0,0
"1,470",Warren Tope,1,0,0,0,3,0,29,40,0,7.5,0,0
"2,725",Sal Tovella,10,0,0,0,735,0,25.5,24.5,7,1837.5,0,0
"588,367",Dick Trickle,22,1,2,0,3012,0,25.3,23,14,7530,5,0
"3,945",E.J. Trivette,7,0,0,0,604,0,27.4,21.6,6,1510,0,0
"4,175",Maynard Troyer,4,0,1,0,359,0,16.2,20.8,2,897.5,0,0
"4,950,071","Martin Truex, Jr.",29,2,4,1,4693,92,18,22.1,22,11732.5,17,0
"95,735",Ryan Truex,1,0,0,0,97,0,42,32,0,242.5,0,0
"1,575",Donald Tucker,2,1,1,0,162,0,7,9.5,2,405,0,0
"13,175",Curtis Turner,11,1,2,1,922,25,19.7,23.1,4,2305,0,0
150,Carl Tyler,2,0,0,0,63,0,32.5,38.5,1,157.5,0,0
"4,250",Roy Tyner,12,0,0,0,798,0,35.1,28.4,5,1995,0,0
"38,980",D.K. Ulrich,8,0,0,0,1156,0,36.4,19.6,6,2890,0,0
"6,250",Al Unser,1,1,1,0,200,1,8,4,1,500,1,0
"23,005","Al Unser, Jr.",1,0,0,0,157,0,40,36,0,392.5,0,0
"1,900",Bobby Unser,2,1,1,0,106,2,11,23,1,265,1,0
"7,325",John Utsman,3,0,0,0,395,0,27,26.7,1,987.5,0,0
"38,520",Jim Vandiver,17,1,3,0,1421,0,20.8,25.8,7,3552.5,0,0
"1,160",Robert Vaughn,2,0,0,0,5,0,24.5,28,0,12.5,0,0
"3,388,700",Brian Vickers,17,1,4,0,2812,34,23.7,19.8,15,7030,12,0
"4,975",Billy Wade,7,0,2,0,621,0,25.9,20.4,3,1552.5,0,0
520,Lennie Waldo,1,0,0,0,114,0,23,26,1,285,0,0
0,Bubba Wallace,5,1,1,0,833,0,20.4,16.8,4,2082.5,3,0
"1,699,247",Kenny Wallace,19,0,0,0,2750,1,27.1,27.3,12,6875,7,0
"2,887,859",Mike Wallace,19,1,5,0,2770,1,26.6,25.1,14,6925,8,0
"4,119,412",Rusty Wallace,45,7,18,0,6880,205,19.8,18.1,36,17200,22,0
"291,638",Steve Wallace,1,0,0,0,208,0,36,20,1,520,1,0
"9,930",Salt Walther,3,0,0,0,353,0,25,24.3,1,882.5,0,0
"13,745",Blackie Wangerin,8,0,0,0,510,0,30.6,31.4,1,1275,0,0
0,Rodger Ward,1,0,0,0,9,0,17,27,0,22.5,0,0
0,Cody Ware,1,0,0,0,155,0,37,39,0,387.5,0,0
"78,960",Frank Warren,32,0,3,0,4098,1,24.2,18.8,25,10245,0,0
"2,850",Dave Watson,1,0,0,0,115,1,25,26,0,287.5,0,0
"2,695",Blackie Watt,5,0,0,0,320,0,32.4,28.8,2,800,0,0
"36,415",Bobby Wawak,8,0,0,0,721,0,28,26.2,3,1802.5,0,0
"4,050",Don White,5,1,3,0,394,0,7.4,16.2,3,985,2,0
"1,500",Gene White,4,0,0,0,464,0,27.2,23,3,1160,0,0
400,Ken White,1,0,0,0,0,0,34,40,0,0,0,0
"8,140",Rex White,15,3,7,0,1570,39,15.6,12.8,12,3925,3,0
"1,000",Jim Whitman,3,0,0,0,242,0,27.3,29.7,2,605,0,0
"2,985",Bill Whittington,1,0,0,0,66,0,42,32,0,165,0,0
"853,317",Cole Whitt,7,0,0,0,1023,3,25,25.3,4,2557.5,3,0
"22,630",Don Whittington,3,0,0,0,531,0,22.7,17.3,3,1327.5,0,0
"5,820",Reb Wickersham,14,0,2,0,965,0,26.6,24.4,7,2412.5,0,0
"4,060",Raymond Williams,5,0,0,0,410,0,26.2,27.4,3,1025,0,0
450,Rodney Williams,1,0,0,0,5,0,25,28,0,12.5,0,0
"1,615",Tom Williams,1,0,0,0,41,0,25,37,0,102.5,0,0
625,Fritz Wilson,3,1,1,0,64,4,17.7,30.7,1,160,1,0
"315,155",Rick Wilson,19,1,3,0,2625,31,20.6,23.7,10,6562.5,4,0
500,Woodie Wilson,2,0,1,0,131,0,15.5,12.5,2,327.5,0,0
675,Bill Wimble,2,0,0,0,231,0,22,14,2,577.5,0,0
"1,213,021",Scott Wimmer,4,1,1,0,687,13,26.2,25,2,1717.5,1,0
"2,325",Dorus Wisecraver,2,0,0,0,219,0,24.5,14,2,547.5,0,0
"989,623",Josh Wise,6,0,0,0,796,5,31,30.2,4,1990,1,0
"4,150",Roland Wlodyka,1,0,0,0,192,0,15,19,1,480,0,0
100,Glen Wood,1,0,0,0,149,0,8,34,0,372.5,0,0
"103,920",Jon Wood,1,0,0,0,155,0,22,33,1,387.5,0,0
"1,790",Satch Worley,1,0,0,0,150,0,37,18,1,375,0,0
"2,371,520",J.J. Yeley,14,0,1,0,2021,5,31.7,25.9,12,5052.5,6,0
"1,625",Emanuel Zervakis,5,0,3,0,468,0,17.2,14.4,4,1170,0,0
